OC,B11,B12,B4,B8,bai,bsi,slope,LST_Day_1km,elevation
0.5,0.34295,0.2928,0.1571,0.2396,28.15587062,0.84504133,0.58457315,15028.93802,65
0.5,0.21725,0.11935,0.0808,0.3811,9.664277548,0.39994004,3.243201,15029.87919,61
0.5,0.3218,0.2363,0.1131,0.2468,28.51777277,0.7232457,0.8315673,15030.76218,60
0.5,0.2701,0.1921,0.123,0.23735,31.2675652,0.7337292,0.93563175,15033.97166,56
0.5,0.22785,0.1596,0.0992,0.21465,41.81080231,0.69151634,2.7749097,15034.0798,58
0.5,0.1673,0.1199,0.0958,0.1782,71.48534328,0.7235827,3.7491248,15035.88284,55
0.5,0.2782,0.20525,0.1309,0.26215,23.91233088,0.71919125,1.6433194,15033.66642,56
0.5,0.2174,0.1577,0.121,0.2274,35.13239093,0.7237081,1.228312,15033.69531,58
0.5,0.1769,0.1045,0.0683,0.2186,38.22797805,0.53481895,3.1244342,15036.05945,105
0.5,0.2112,0.2047,0.1562,0.1726,63.14247074,0.95653325,4.4344177,15049.60959,47
0.5,0.2183,0.1889,0.1276,0.2026,47.40118137,0.8084291,2.0345159,15041.66988,46
0.5,0.1914,0.1537,0.1237,0.1984,50.71958,0.78784436,1.7302538,15054.25705,43
0.5,0.2291,0.2128,0.1282,0.2038,46.56864174,0.818531,2.7212098,15049.62985,47
0.5,0.1412,0.0842,0.0869,0.2122,42.8514188,0.5772605,2.2047806,15051.96865,44
0.5,0.1963,0.1818,0.1092,0.1558,107.9647778,0.86196685,1.2109388,15052.52229,43
0.5,0.171,0.1336,0.111,0.1476,128.2913272,0.86984354,0.97500473,15051.76706,41
0.5,0.2669,0.2564,0.1412,0.194,50.88167246,0.8827709,3.724825,15052.82247,47
0.5,0.2774,0.2684,0.1758,0.2032,38.09251192,0.9418999,3.372738,15046.15969,45
0.5,0.2001,0.1749,0.1166,0.197,52.50843525,0.7838129,4.3644624,15051.93401,39
0.5,0.2343,0.2329,0.1418,0.1724,69.53619557,0.9245004,2.5692625,15052.87267,42
0.5,0.2569,0.1742,0.1176,0.2298,34.31496988,0.7222772,2.9178257,15047.30506,37
0.5,0.2164,0.1612,0.1064,0.1623,95.18142955,0.82720244,1.6401849,15045.93591,38
0.5,0.2085,0.1366,0.1013,0.223,37.63545244,0.6615684,1.7143307,14991.60636,46
0.5,0.1742,0.1078,0.07,0.2186,38.38187903,0.54473037,1.0707898,14997.88627,47
0.5,0.226,0.1669,0.114,0.1992,51.09172489,0.7672767,0.6593213,14994.89755,47
0.5,0.2634,0.1913,0.1316,0.2306,33.21936845,0.76534724,2.678748,14978.49633,53
0.5,0.2198,0.1269,0.0883,0.2608,24.71727658,0.5550683,2.0992277,14923.32707,53
0.5,0.18025,0.1144,0.0927,0.2127,42.78884267,0.6331397,0.98436356,15025.02071,69
0.5,0.29055,0.23455,0.1493,0.2476,26.57860223,0.79612154,1.0291753,15022.89553,72
0.5,0.231,0.1598,0.1216,0.2176,39.51894224,0.745628,3.923155,14999.54156,52
0.5,0.2896,0.2674,0.1526,0.214,37.76041323,0.87245536,2.0066447,14984.71818,53
0.5,0.3084,0.2422,0.167,0.2446,25.92946858,0.8405916,1.6518471,14984.21176,53
0.5,0.2376,0.1998,0.1368,0.2126,40.58277147,0.8161979,2.6356,14972.67408,63
0.5,0.2783,0.2151,0.1406,0.2502,26.43796002,0.76445305,2.251758,14982.52731,64
0.5,0.2469,0.1671,0.1242,0.2062,45.53717239,0.7803375,1.5720005,14978.22551,67
0.5,0.283,0.2007,0.1256,0.232,33.06948573,0.7541022,2.0456688,14948.89434,72
0.5,0.2772,0.1984,0.1264,0.2234,36.5009881,0.7700332,0.8802786,14952.78359,65
0.5,0.1949,0.1334,0.0935,0.1788,70.64296928,0.72677773,3.6597257,14962.85001,52
0.75,0.157,0.0842,0.1184,0.2608,24.59467871,0.58724636,2.0903256,15042.57007,50
0.75,0.2416,0.2086,0.1344,0.3068,16.10471841,0.6655025,2.2049499,15044.46689,45
0.75,0.1434,0.1116,0.0948,0.1138,342.2923083,0.91570544,2.7430253,15051.74047,41
0.75,0.2473,0.2104,0.1406,0.2318,32.08871752,0.79375845,0.59772235,15053.87265,43
0.75,0.2238,0.2016,0.144,0.2092,41.32805574,0.8412853,2.210765,15033.97216,41
0.75,0.1845,0.1765,0.1274,0.1472,119.6945346,0.9388322,1.5377958,15049.98904,39
0.75,0.1733,0.1358,0.0787,0.196,52.77131554,0.64647377,2.6859777,15051.89629,39
0.75,0.2098,0.1885,0.126,0.169,79.6368556,0.8797203,2.178685,15049.3028,40
0.75,0.2236,0.1742,0.1038,0.2536,26.66993782,0.64983636,2.4291008,15026.03271,41
0.75,0.1685,0.1113,0.0916,0.1724,78.71338581,0.71519214,1.247787,15023.85609,41
0.75,0.1824,0.1454,0.1028,0.1584,103.1949165,0.81698483,1.3670813,14978.12317,50
0.75,0.197,0.1299,0.0926,0.2285,35.15308204,0.62081474,1.8483242,14973.64524,52
0.75,0.2244,0.1925,0.1102,0.1491,124.3340194,0.88612413,1.5838006,14968.64995,55
0.75,0.26125,0.17685,0.116,0.3158,15.22309933,0.59443825,0.29672873,15018.45418,120
0.75,0.1315,0.0826,0.0775,0.1354,161.5141093,0.73440367,1.20188,14964.5857,58
0.75,0.17995,0.11915,0.0953,0.2345,32.81664395,0.6063905,3.0340006,14953.60129,56
0.25,0.2342,0.18185,0.1115,0.1901,58.62262665,0.78868127,1.457722,15030.44366,60
0.25,0.244,0.1679,0.0934,0.2852,19.70109503,0.5766939,1.3133245,15039.57072,71
0.25,0.1605,0.0834,0.1292,0.2974,17.47903429,0.5582983,1.4666882,15042.02519,53
0.25,0.294,0.2963,0.1766,0.2188,32.16985992,0.91807413,1.5019526,15054.66088,46
0.25,0.2832,0.2187,0.1364,0.26,24.19845279,0.7418007,2.0281954,15049.02716,51
0.25,0.2063,0.1358,0.0777,0.316,15.14387493,0.4725542,1.1258264,15049.6488,48
0.25,0.1871,0.1249,0.0944,0.2988,17.52639599,0.5175832,1.5338408,15050.96187,41
