OC,B11,B12,B2,B3,B4,B8,bai,bsi,evi,lai,nbr,ndmi,ndvi,ndwi,savi,slope,LST_Day_1km,elevation
0.5,0.34295,0.2928,0.10345,0.1284,0.1571,0.2396,28.15587062,0.84504133,0.146658833,0.276195968,-0.09992488,-0.17740963,0.2079657,0.3021739,0.138006014,0.58457315,15028.93802,65
0.5,0.21725,0.11935,0.08255,0.1097,0.0808,0.3811,9.664277548,0.39994004,0.602153558,0.948150285,0.52302927,0.27383637,0.65014076,0.5529747,0.468291928,3.243201,15029.87919,61
0.5,0.3218,0.2363,0.09365,0.1135,0.1131,0.2468,28.51777277,0.7232457,0.273297774,0.463384058,0.021734627,-0.1319029,0.3714921,0.3699695,0.233224802,0.8315673,15030.76218,60
0.5,0.2701,0.1921,0.0941,0.1124,0.123,0.23735,31.2675652,0.7337292,0.225169336,0.396149081,0.105367325,-0.06453837,0.31733036,0.35725516,0.199366533,0.93563175,15033.97166,56
0.5,0.22785,0.1596,0.08475,0.0999,0.0992,0.21465,41.81080231,0.69151634,0.245800416,0.418598091,0.14709419,-0.029830508,0.36785087,0.3648069,0.212784913,2.7749097,15034.0798,58
0.5,0.1673,0.1199,0.0789,0.0922,0.0958,0.1782,71.48534328,0.7235827,0.177395071,0.311193352,0.19557196,0.031548496,0.30072996,0.31804734,0.159689939,3.7491248,15035.88284,55
0.5,0.2782,0.20525,0.0986,0.121,0.1309,0.26215,23.91233088,0.71919125,0.250850499,0.440891774,0.121737264,-0.029702991,0.33392698,0.36839357,0.220452376,1.6433194,15033.66642,56
0.5,0.2174,0.1577,0.0983,0.1144,0.121,0.2274,35.13239093,0.7237081,0.218723034,0.372874098,0.18099195,0.022482026,0.3053961,0.3306027,0.188118821,1.228312,15033.69531,58
0.5,0.1769,0.1045,0.0548,0.0735,0.0683,0.2186,38.22797805,0.53481895,0.308649585,0.56008385,0.35314143,0.10543617,0.5238759,0.4967477,0.286504008,3.1244342,15036.05945,105
0.5,0.2112,0.2047,0.1324,0.152,0.1562,0.1726,63.14247074,0.95653325,0.036712022,0.058585288,-0.085078165,-0.10057321,0.04987833,0.06346274,0.029681457,4.4344177,15049.60959,47
